Id,Quantity,Recipe ingredient,Name [Food],Title [Recipe],Ingredients [Recipe],Origin [Recipe]
6742, - ,radis,radis,"Radis, quinoa, butternut rôti, sauce citronnée, noix, échalote","citron
échalote
ail
butternut
radis
noix
quinoa
huile d'olive
moutarde
vinaigre de cidre
thym
romarin",mama
6743, - ,noix,noix,"Radis, quinoa, butternut rôti, sauce citronnée, noix, échalote","citron
échalote
ail
butternut
radis
noix
quinoa
huile d'olive
moutarde
vinaigre de cidre
thym
romarin",mama
6744, - ,quinoa,quinoa,"Radis, quinoa, butternut rôti, sauce citronnée, noix, échalote","citron
échalote
ail
butternut
radis
noix
quinoa
huile d'olive
moutarde
vinaigre de cidre
thym
romarin",mama
6745, - ,huile d'olive,huile d'olive,"Radis, quinoa, butternut rôti, sauce citronnée, noix, échalote","citron
échalote
ail
butternut
radis
noix
quinoa
huile d'olive
moutarde
vinaigre de cidre
thym
romarin",mama
6746, - ,moutarde,moutarde,"Radis, quinoa, butternut rôti, sauce citronnée, noix, échalote","citron
échalote
ail
butternut
radis
noix
quinoa
huile d'olive
moutarde
vinaigre de cidre
thym
romarin",mama
6747, - ,vinaigre de cidre,vinaigre de cidre,"Radis, quinoa, butternut rôti, sauce citronnée, noix, échalote","citron
échalote
ail
butternut
radis
noix
quinoa
huile d'olive
moutarde
vinaigre de cidre
thym
romarin",mama
6748, - ,thym,thym,"Radis, quinoa, butternut rôti, sauce citronnée, noix, échalote","citron
échalote
ail
butternut
radis
noix
quinoa
huile d'olive
moutarde
vinaigre de cidre
thym
romarin",mama
6749, - ,romarin,romarin,"Radis, quinoa, butternut rôti, sauce citronnée, noix, échalote","citron
échalote
ail
butternut
radis
noix
quinoa
huile d'olive
moutarde
vinaigre de cidre
thym
romarin",mama
6750, - ,échalote,échalote,"Lentilles, patate douce rôtie, oignon rouge, vinaigrette, échalote","échalote
oignon rouge
patate douce
lentille
huile d'olive
vinaigre balsamique
moutarde
persil",mama
6751, - ,oignon rouge,oignon rouge,"Lentilles, patate douce rôtie, oignon rouge, vinaigrette, échalote","échalote
oignon rouge
patate douce
lentille
huile d'olive
vinaigre balsamique
moutarde
persil",mama
6752, - ,patate douce,patate douce,"Lentilles, patate douce rôtie, oignon rouge, vinaigrette, échalote","échalote
oignon rouge
patate douce
lentille
huile d'olive
vinaigre balsamique
moutarde
persil",mama
6753, - ,lentille,lentille,"Lentilles, patate douce rôtie, oignon rouge, vinaigrette, échalote","échalote
oignon rouge
patate douce
lentille
huile d'olive
vinaigre balsamique
moutarde
persil",mama
6754, - ,huile d'olive,huile d'olive,"Lentilles, patate douce rôtie, oignon rouge, vinaigrette, échalote","échalote
oignon rouge
patate douce
lentille
huile d'olive
vinaigre balsamique
moutarde
persil",mama
6755, - ,vinaigre balsamique,vinaigre balsamique,"Lentilles, patate douce rôtie, oignon rouge, vinaigrette, échalote","échalote
oignon rouge
patate douce
lentille
huile d'olive
vinaigre balsamique
moutarde
persil",mama
6756, - ,moutarde,moutarde,"Lentilles, patate douce rôtie, oignon rouge, vinaigrette, échalote","échalote
oignon rouge
patate douce
lentille
huile d'olive
vinaigre balsamique
moutarde
persil",mama
6757, - ,persil,persil,"Lentilles, patate douce rôtie, oignon rouge, vinaigrette, échalote","échalote
oignon rouge
patate douce
lentille
huile d'olive
vinaigre balsamique
moutarde
persil",mama
6758, - ,pois gourmand,pois gourmand,"Semoule, butternut rôti, pois gourmands, graines de sésame","pois gourmand
ail
butternut
graine de sésame
semoule
huile d'olive
thym
romarin",mama
6759, - ,ail,ail,"Semoule, butternut rôti, pois gourmands, graines de sésame","pois gourmand
ail
butternut
graine de sésame
semoule
huile d'olive
thym
romarin",mama
6760, - ,butternut,butternut,"Semoule, butternut rôti, pois gourmands, graines de sésame","pois gourmand
ail
butternut
graine de sésame
semoule
huile d'olive
thym
romarin",mama
6761, - ,graine de sésame,graine de sésame,"Semoule, butternut rôti, pois gourmands, graines de sésame","pois gourmand
ail
butternut
graine de sésame
semoule
huile d'olive
thym
romarin",mama
6762, - ,semoule,semoule,"Semoule, butternut rôti, pois gourmands, graines de sésame","pois gourmand
ail
butternut
graine de sésame
semoule
huile d'olive
thym
romarin",mama
6763, - ,huile d'olive,huile d'olive,"Semoule, butternut rôti, pois gourmands, graines de sésame","pois gourmand
ail
butternut
graine de sésame
semoule
huile d'olive
thym
romarin",mama
6764, - ,thym,thym,"Semoule, butternut rôti, pois gourmands, graines de sésame","pois gourmand
ail
butternut
graine de sésame
semoule
huile d'olive
thym
romarin",mama
6765, - ,romarin,romarin,"Semoule, butternut rôti, pois gourmands, graines de sésame","pois gourmand
ail
butternut
graine de sésame
semoule
huile d'olive
thym
romarin",mama
6766, - ,ail,ail,"Semoule, butternut rôti, graines de sésame","ail
butternut
graine de sésame
semoule
huile d'olive
thym
romarin",mama
6767, - ,butternut,butternut,"Semoule, butternut rôti, graines de sésame","ail
butternut
graine de sésame
semoule
huile d'olive
thym
romarin",mama
6768, - ,graine de sésame,graine de sésame,"Semoule, butternut rôti, graines de sésame","ail
butternut
graine de sésame
semoule
huile d'olive
thym
romarin",mama
6769, - ,semoule,semoule,"Semoule, butternut rôti, graines de sésame","ail
butternut
graine de sésame
semoule
huile d'olive
thym
romarin",mama
6770, - ,huile d'olive,huile d'olive,"Semoule, butternut rôti, graines de sésame","ail
butternut
graine de sésame
semoule
huile d'olive
thym
romarin",mama
6771, - ,thym,thym,"Semoule, butternut rôti, graines de sésame","ail
butternut
graine de sésame
semoule
huile d'olive
thym
romarin",mama
6772, - ,romarin,romarin,"Semoule, butternut rôti, graines de sésame","ail
butternut
graine de sésame
semoule
huile d'olive
thym
romarin",mama
6773, - ,échalote,échalote,"Quinoa, courge rôtie, haricots plats, huile d'olive, échalote, graines de pavot et de lin","échalote
haricot plat
ail
courge
graine de lin
graine de pavot
quinoa
huile d'olive
thym
romarin",mama
6774, - ,haricot plat,haricot plat,"Quinoa, courge rôtie, haricots plats, huile d'olive, échalote, graines de pavot et de lin","échalote
haricot plat
ail
courge
graine de lin
graine de pavot
quinoa
huile d'olive
thym
romarin",mama
6775, - ,ail,ail,"Quinoa, courge rôtie, haricots plats, huile d'olive, échalote, graines de pavot et de lin","échalote
haricot plat
ail
courge
graine de lin
graine de pavot
quinoa
huile d'olive
thym
romarin",mama
6776, - ,courge,courge,"Quinoa, courge rôtie, haricots plats, huile d'olive, échalote, graines de pavot et de lin","échalote
haricot plat
ail
courge
graine de lin
graine de pavot
quinoa
huile d'olive
thym
romarin",mama
6777, - ,graine de lin,graine de lin,"Quinoa, courge rôtie, haricots plats, huile d'olive, échalote, graines de pavot et de lin","échalote
haricot plat
ail
courge
graine de lin
graine de pavot
quinoa
huile d'olive
thym
romarin",mama
6778, - ,graine de pavot,graine de pavot,"Quinoa, courge rôtie, haricots plats, huile d'olive, échalote, graines de pavot et de lin","échalote
haricot plat
ail
courge
graine de lin
graine de pavot
quinoa
huile d'olive
thym
romarin",mama
6779, - ,quinoa,quinoa,"Quinoa, courge rôtie, haricots plats, huile d'olive, échalote, graines de pavot et de lin","échalote
haricot plat
ail
courge
graine de lin
graine de pavot
quinoa
huile d'olive
thym
romarin",mama
6780, - ,huile d'olive,huile d'olive,"Quinoa, courge rôtie, haricots plats, huile d'olive, échalote, graines de pavot et de lin","échalote
haricot plat
ail
courge
graine de lin
graine de pavot
quinoa
huile d'olive
thym
romarin",mama
6781, - ,thym,thym,"Quinoa, courge rôtie, haricots plats, huile d'olive, échalote, graines de pavot et de lin","échalote
haricot plat
ail
courge
graine de lin
graine de pavot
quinoa
huile d'olive
thym
romarin",mama
6782, - ,romarin,romarin,"Quinoa, courge rôtie, haricots plats, huile d'olive, échalote, graines de pavot et de lin","échalote
haricot plat
ail
courge
graine de lin
graine de pavot
quinoa
huile d'olive
thym
romarin",mama
6783, - ,graine de courge,graine de courge,"Potiron rôti, carottes rôties, graines de courge","courge
ail
carotte
potiron
huile d'olive
thym
romarin",mama
6784, - ,ail,ail,"Potiron rôti, carottes rôties, graines de courge","courge
ail
carotte
potiron
huile d'olive
thym
romarin",mama
6785, - ,carotte,carotte,"Potiron rôti, carottes rôties, graines de courge","courge
ail
carotte
potiron
huile d'olive
thym
romarin",mama
6786, - ,potiron,potiron,"Potiron rôti, carottes rôties, graines de courge","courge
ail
carotte
potiron
huile d'olive
thym
romarin",mama
6787, - ,huile d'olive,huile d'olive,"Potiron rôti, carottes rôties, graines de courge","courge
ail
carotte
potiron
huile d'olive
thym
romarin",mama
6788, - ,thym,thym,"Potiron rôti, carottes rôties, graines de courge","courge
ail
carotte
potiron
huile d'olive
thym
romarin",mama
6789, - ,romarin,romarin,"Potiron rôti, carottes rôties, graines de courge","courge
ail
carotte
potiron
huile d'olive
thym
romarin",mama
6790, - ,ail,ail,"Pois chiches à la poêle, riz basmati, carottes poêlées, sauce tomate épicée","ail
oignon
carotte
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
sucre
marjolaine
paprika
origan
cumin
curcuma",mama
6791, - ,oignon,oignon,"Pois chiches à la poêle, riz basmati, carottes poêlées, sauce tomate épicée","ail
oignon
carotte
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
sucre
marjolaine
paprika
origan
cumin
curcuma",mama
6792, - ,carotte,carotte,"Pois chiches à la poêle, riz basmati, carottes poêlées, sauce tomate épicée","ail
oignon
carotte
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
sucre
marjolaine
paprika
origan
cumin
curcuma",mama
6793, - ,riz basmati,riz basmati,"Pois chiches à la poêle, riz basmati, carottes poêlées, sauce tomate épicée","ail
oignon
carotte
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
sucre
marjolaine
paprika
origan
cumin
curcuma",mama
6794, - ,pois chiches,pois chiches,"Pois chiches à la poêle, riz basmati, carottes poêlées, sauce tomate épicée","ail
oignon
carotte
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
sucre
marjolaine
paprika
origan
cumin
curcuma",mama
6795, - ,huile d'olive,huile d'olive,"Pois chiches à la poêle, riz basmati, carottes poêlées, sauce tomate épicée","ail
oignon
carotte
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
sucre
marjolaine
paprika
origan
cumin
curcuma",mama
6796, - ,piment rouge,piment rouge,"Pois chiches à la poêle, riz basmati, carottes poêlées, sauce tomate épicée","ail
oignon
carotte
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
sucre
marjolaine
paprika
origan
cumin
curcuma",mama
6797, - ,tomate concassée,tomate concassée,"Pois chiches à la poêle, riz basmati, carottes poêlées, sauce tomate épicée","ail
oignon
carotte
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
sucre
marjolaine
paprika
origan
cumin
curcuma",mama
6798, - ,sucre,sucre,"Pois chiches à la poêle, riz basmati, carottes poêlées, sauce tomate épicée","ail
oignon
carotte
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
sucre
marjolaine
paprika
origan
cumin
curcuma",mama
6799, - ,marjolaine,marjolaine,"Pois chiches à la poêle, riz basmati, carottes poêlées, sauce tomate épicée","ail
oignon
carotte
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
sucre
marjolaine
paprika
origan
cumin
curcuma",mama
6800, - ,paprika,paprika,"Pois chiches à la poêle, riz basmati, carottes poêlées, sauce tomate épicée","ail
oignon
carotte
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
sucre
marjolaine
paprika
origan
cumin
curcuma",mama
6801, - ,origan,origan,"Pois chiches à la poêle, riz basmati, carottes poêlées, sauce tomate épicée","ail
oignon
carotte
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
sucre
marjolaine
paprika
origan
cumin
curcuma",mama
6802, - ,cumin,cumin,"Pois chiches à la poêle, riz basmati, carottes poêlées, sauce tomate épicée","ail
oignon
carotte
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
sucre
marjolaine
paprika
origan
cumin
curcuma",mama
6803, - ,curcuma,curcuma,"Pois chiches à la poêle, riz basmati, carottes poêlées, sauce tomate épicée","ail
oignon
carotte
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
sucre
marjolaine
paprika
origan
cumin
curcuma",mama
6804, - ,ail,ail,"Pois chiches à la poêle, riz basmati, sauce tomate épicée","ail
oignon
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
cumin
curcuma",mama
6805, - ,oignon,oignon,"Pois chiches à la poêle, riz basmati, sauce tomate épicée","ail
oignon
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
cumin
curcuma",mama
6806, - ,riz basmati,riz basmati,"Pois chiches à la poêle, riz basmati, sauce tomate épicée","ail
oignon
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
cumin
curcuma",mama
6807, - ,pois chiches,pois chiches,"Pois chiches à la poêle, riz basmati, sauce tomate épicée","ail
oignon
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
cumin
curcuma",mama
6808, - ,huile d'olive,huile d'olive,"Pois chiches à la poêle, riz basmati, sauce tomate épicée","ail
oignon
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
cumin
curcuma",mama
6809, - ,piment rouge,piment rouge,"Pois chiches à la poêle, riz basmati, sauce tomate épicée","ail
oignon
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
cumin
curcuma",mama
6810, - ,tomate concassée,tomate concassée,"Pois chiches à la poêle, riz basmati, sauce tomate épicée","ail
oignon
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
cumin
curcuma",mama
6811, - ,marjolaine,marjolaine,"Pois chiches à la poêle, riz basmati, sauce tomate épicée","ail
oignon
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
cumin
curcuma",mama
6812, - ,paprika,paprika,"Pois chiches à la poêle, riz basmati, sauce tomate épicée","ail
oignon
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
cumin
curcuma",mama
6813, - ,origan,origan,"Pois chiches à la poêle, riz basmati, sauce tomate épicée","ail
oignon
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
cumin
curcuma",mama
6814, - ,cumin,cumin,"Pois chiches à la poêle, riz basmati, sauce tomate épicée","ail
oignon
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
cumin
curcuma",mama
6815, - ,curcuma,curcuma,"Pois chiches à la poêle, riz basmati, sauce tomate épicée","ail
oignon
riz basmati
pois chiches
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
cumin
curcuma",mama
6816, - ,ail,ail,"Pois chiches à la poêle, sauce tomate épicée","ail
oignon
pois chiches
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
cumin
curcuma",mama
6817, - ,oignon,oignon,"Pois chiches à la poêle, sauce tomate épicée","ail
oignon
pois chiches
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
cumin
curcuma",mama
6818, - ,pois chiches,pois chiches,"Pois chiches à la poêle, sauce tomate épicée","ail
oignon
pois chiches
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
cumin
curcuma",mama
6819, - ,huile d'olive,huile d'olive,"Pois chiches à la poêle, sauce tomate épicée","ail
oignon
pois chiches
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
cumin
curcuma",mama
6820, - ,piment rouge,piment rouge,"Pois chiches à la poêle, sauce tomate épicée","ail
oignon
pois chiches
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
cumin
curcuma",mama
6821, - ,tomate concassée,tomate concassée,"Pois chiches à la poêle, sauce tomate épicée","ail
oignon
pois chiches
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
cumin
curcuma",mama
6822, - ,marjolaine,marjolaine,"Pois chiches à la poêle, sauce tomate épicée","ail
oignon
pois chiches
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
cumin
curcuma",mama
6823, - ,paprika,paprika,"Pois chiches à la poêle, sauce tomate épicée","ail
oignon
pois chiches
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
cumin
curcuma",mama
6824, - ,origan,origan,"Pois chiches à la poêle, sauce tomate épicée","ail
oignon
pois chiches
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
cumin
curcuma",mama
6825, - ,cumin,cumin,"Pois chiches à la poêle, sauce tomate épicée","ail
oignon
pois chiches
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
cumin
curcuma",mama
6826, - ,curcuma,curcuma,"Pois chiches à la poêle, sauce tomate épicée","ail
oignon
pois chiches
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
cumin
curcuma",mama
6827, - ,ail,ail,"Riz basmati, potiron rôti, sauce tomate épicée","ail
oignon
potiron
riz basmati
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
thym
romarin",mama
6828, - ,oignon,oignon,"Riz basmati, potiron rôti, sauce tomate épicée","ail
oignon
potiron
riz basmati
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
thym
romarin",mama
6829, - ,potiron,potiron,"Riz basmati, potiron rôti, sauce tomate épicée","ail
oignon
potiron
riz basmati
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
thym
romarin",mama
6830, - ,riz basmati,riz basmati,"Riz basmati, potiron rôti, sauce tomate épicée","ail
oignon
potiron
riz basmati
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
thym
romarin",mama
6831, - ,huile d'olive,huile d'olive,"Riz basmati, potiron rôti, sauce tomate épicée","ail
oignon
potiron
riz basmati
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
thym
romarin",mama
6832, - ,piment rouge,piment rouge,"Riz basmati, potiron rôti, sauce tomate épicée","ail
oignon
potiron
riz basmati
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
thym
romarin",mama
6833, - ,tomate concassée,tomate concassée,"Riz basmati, potiron rôti, sauce tomate épicée","ail
oignon
potiron
riz basmati
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
thym
romarin",mama
6834, - ,marjolaine,marjolaine,"Riz basmati, potiron rôti, sauce tomate épicée","ail
oignon
potiron
riz basmati
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
thym
romarin",mama
6835, - ,paprika,paprika,"Riz basmati, potiron rôti, sauce tomate épicée","ail
oignon
potiron
riz basmati
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
thym
romarin",mama
6836, - ,origan,origan,"Riz basmati, potiron rôti, sauce tomate épicée","ail
oignon
potiron
riz basmati
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
thym
romarin",mama
6837, - ,thym,thym,"Riz basmati, potiron rôti, sauce tomate épicée","ail
oignon
potiron
riz basmati
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
thym
romarin",mama
6838, - ,romarin,romarin,"Riz basmati, potiron rôti, sauce tomate épicée","ail
oignon
potiron
riz basmati
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
thym
romarin",mama
6839, - ,ail,ail,"Patate douce rôtie, riz basmati, sauce tomate épicée","ail
oignon
patate douce
riz basmati
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
persil",mama
6840, - ,oignon,oignon,"Patate douce rôtie, riz basmati, sauce tomate épicée","ail
oignon
patate douce
riz basmati
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
persil",mama
6841, - ,patate douce,patate douce,"Patate douce rôtie, riz basmati, sauce tomate épicée","ail
oignon
patate douce
riz basmati
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
persil",mama
6842, - ,riz basmati,riz basmati,"Patate douce rôtie, riz basmati, sauce tomate épicée","ail
oignon
patate douce
riz basmati
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
persil",mama
6843, - ,huile d'olive,huile d'olive,"Patate douce rôtie, riz basmati, sauce tomate épicée","ail
oignon
patate douce
riz basmati
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
persil",mama
6844, - ,piment rouge,piment rouge,"Patate douce rôtie, riz basmati, sauce tomate épicée","ail
oignon
patate douce
riz basmati
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
persil",mama
6845, - ,tomate concassée,tomate concassée,"Patate douce rôtie, riz basmati, sauce tomate épicée","ail
oignon
patate douce
riz basmati
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
persil",mama
6846, - ,marjolaine,marjolaine,"Patate douce rôtie, riz basmati, sauce tomate épicée","ail
oignon
patate douce
riz basmati
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
persil",mama
6847, - ,paprika,paprika,"Patate douce rôtie, riz basmati, sauce tomate épicée","ail
oignon
patate douce
riz basmati
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
persil",mama
6848, - ,origan,origan,"Patate douce rôtie, riz basmati, sauce tomate épicée","ail
oignon
patate douce
riz basmati
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
persil",mama
6849, - ,persil,persil,"Patate douce rôtie, riz basmati, sauce tomate épicée","ail
oignon
patate douce
riz basmati
huile d'olive
piment rouge
tomate concassée
marjolaine
paprika
origan
persil",mama
6850, - ,citron,citron,"Pois cassés, quinoa, courge rôtie, sauce tahin, amandes éffilées, graines de courge","citron
cassis
courge
ail
amande effilée
tahin
quinoa
huile d'olive
thym
romarin",mama
6851, - ,cassis,cassis,"Pois cassés, quinoa, courge rôtie, sauce tahin, amandes éffilées, graines de courge","citron
cassis
courge
ail
amande effilée
tahin
quinoa
huile d'olive
thym
romarin",mama
6852, - ,graine de courge,graine de courge,"Pois cassés, quinoa, courge rôtie, sauce tahin, amandes éffilées, graines de courge","citron
cassis
courge
ail
amande effilée
tahin
quinoa
huile d'olive
thym
romarin",mama
6853, - ,ail,ail,"Pois cassés, quinoa, courge rôtie, sauce tahin, amandes éffilées, graines de courge","citron
cassis
courge
ail
amande effilée
tahin
quinoa
huile d'olive
thym
romarin",mama
6854, - ,amande effilée,amande effilée,"Pois cassés, quinoa, courge rôtie, sauce tahin, amandes éffilées, graines de courge","citron
cassis
courge
ail
amande effilée
tahin
quinoa
huile d'olive
thym
romarin",mama
6855, - ,tahin,tahin,"Pois cassés, quinoa, courge rôtie, sauce tahin, amandes éffilées, graines de courge","citron
cassis
courge
ail
amande effilée
tahin
quinoa
huile d'olive
thym
romarin",mama
6856, - ,quinoa,quinoa,"Pois cassés, quinoa, courge rôtie, sauce tahin, amandes éffilées, graines de courge","citron
cassis
courge
ail
amande effilée
tahin
quinoa
huile d'olive
thym
romarin",mama
6857, - ,huile d'olive,huile d'olive,"Pois cassés, quinoa, courge rôtie, sauce tahin, amandes éffilées, graines de courge","citron
cassis
courge
ail
amande effilée
tahin
quinoa
huile d'olive
thym
romarin",mama
6858, - ,thym,thym,"Pois cassés, quinoa, courge rôtie, sauce tahin, amandes éffilées, graines de courge","citron
cassis
courge
ail
amande effilée
tahin
quinoa
huile d'olive
thym
romarin",mama
6859, - ,romarin,romarin,"Pois cassés, quinoa, courge rôtie, sauce tahin, amandes éffilées, graines de courge","citron
cassis
courge
ail
amande effilée
tahin
quinoa
huile d'olive
thym
romarin",mama
6860, - ,citron,citron,"Chou kale, quinoa, lentilles, butternut rôti, sauce tahin, amandes éffilées, graines de sésame et de lin","citron
ail
butternut
chou kale
graine de lin
graine de sésame
amande effilée
tahin
quinoa
lentille
huile d'olive
thym
romarin",mama
6861, - ,ail,ail,"Chou kale, quinoa, lentilles, butternut rôti, sauce tahin, amandes éffilées, graines de sésame et de lin","citron
ail
butternut
chou kale
graine de lin
graine de sésame
amande effilée
tahin
quinoa
lentille
huile d'olive
thym
romarin",mama
6862, - ,butternut,butternut,"Chou kale, quinoa, lentilles, butternut rôti, sauce tahin, amandes éffilées, graines de sésame et de lin","citron
ail
butternut
chou kale
graine de lin
graine de sésame
amande effilée
tahin
quinoa
lentille
huile d'olive
thym
romarin",mama
6863, - ,chou kale,chou kale,"Chou kale, quinoa, lentilles, butternut rôti, sauce tahin, amandes éffilées, graines de sésame et de lin","citron
ail
butternut
chou kale
graine de lin
graine de sésame
amande effilée
tahin
quinoa
lentille
huile d'olive
thym
romarin",mama
6864, - ,graine de lin,graine de lin,"Chou kale, quinoa, lentilles, butternut rôti, sauce tahin, amandes éffilées, graines de sésame et de lin","citron
ail
butternut
chou kale
graine de lin
graine de sésame
amande effilée
tahin
quinoa
lentille
huile d'olive
thym
romarin",mama
6865, - ,graine de sésame,graine de sésame,"Chou kale, quinoa, lentilles, butternut rôti, sauce tahin, amandes éffilées, graines de sésame et de lin","citron
ail
butternut
chou kale
graine de lin
graine de sésame
amande effilée
tahin
quinoa
lentille
huile d'olive
thym
romarin",mama
6866, - ,amande effilée,amande effilée,"Chou kale, quinoa, lentilles, butternut rôti, sauce tahin, amandes éffilées, graines de sésame et de lin","citron
ail
butternut
chou kale
graine de lin
graine de sésame
amande effilée
tahin
quinoa
lentille
huile d'olive
thym
romarin",mama
6867, - ,tahin,tahin,"Chou kale, quinoa, lentilles, butternut rôti, sauce tahin, amandes éffilées, graines de sésame et de lin","citron
ail
butternut
chou kale
graine de lin
graine de sésame
amande effilée
tahin
quinoa
lentille
huile d'olive
thym
romarin",mama
6868, - ,quinoa,quinoa,"Chou kale, quinoa, lentilles, butternut rôti, sauce tahin, amandes éffilées, graines de sésame et de lin","citron
ail
butternut
chou kale
graine de lin
graine de sésame
amande effilée
tahin
quinoa
lentille
huile d'olive
thym
romarin",mama
6869, - ,lentille,lentille,"Chou kale, quinoa, lentilles, butternut rôti, sauce tahin, amandes éffilées, graines de sésame et de lin","citron
ail
butternut
chou kale
graine de lin
graine de sésame
amande effilée
tahin
quinoa
lentille
huile d'olive
thym
romarin",mama
6870, - ,huile d'olive,huile d'olive,"Chou kale, quinoa, lentilles, butternut rôti, sauce tahin, amandes éffilées, graines de sésame et de lin","citron
ail
butternut
chou kale
graine de lin
graine de sésame
amande effilée
tahin
quinoa
lentille
huile d'olive
thym
romarin",mama
6871, - ,thym,thym,"Chou kale, quinoa, lentilles, butternut rôti, sauce tahin, amandes éffilées, graines de sésame et de lin","citron
ail
butternut
chou kale
graine de lin
graine de sésame
amande effilée
tahin
quinoa
lentille
huile d'olive
thym
romarin",mama
6872, - ,romarin,romarin,"Chou kale, quinoa, lentilles, butternut rôti, sauce tahin, amandes éffilées, graines de sésame et de lin","citron
ail
butternut
chou kale
graine de lin
graine de sésame
amande effilée
tahin
quinoa
lentille
huile d'olive
thym
romarin",mama
6873, - ,citron,citron,"Avocat, champignon, riz, haricots rouges, butternut rôti, sauce tahin, noix, graines de courge","citron
courge
ail
butternut
champignon
avocat
noix
tahin
riz
haricot rouge
huile d'olive
thym
romarin",mama
6874, - ,graine de courge,graine de courge,"Avocat, champignon, riz, haricots rouges, butternut rôti, sauce tahin, noix, graines de courge","citron
courge
ail
butternut
champignon
avocat
noix
tahin
riz
haricot rouge
huile d'olive
thym
romarin",mama
6875, - ,ail,ail,"Avocat, champignon, riz, haricots rouges, butternut rôti, sauce tahin, noix, graines de courge","citron
courge
ail
butternut
champignon
avocat
noix
tahin
riz
haricot rouge
huile d'olive
thym
romarin",mama
6876, - ,butternut,butternut,"Avocat, champignon, riz, haricots rouges, butternut rôti, sauce tahin, noix, graines de courge","citron
courge
ail
butternut
champignon
avocat
noix
tahin
riz
haricot rouge
huile d'olive
thym
romarin",mama
